beta0	A1	B1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.375361013761722	0.375361013761722	0.375361013761722
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.185710852057673	-0.185710852057673	-0.185710852057673
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.27595488531515	-0.27595488531515	-0.27595488531515
0.200948740052991	0.200948740052991	0.200948740052991
0	0	0
0	0	0
0.244138118182309	0.244138118182309	0.244138118182309
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.115519542363472	0.115519542363472	0.115519542363472
0	0	0
-0.366371394251473	-0.366371394251473	-0.366371394251473
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.282119331276044	-0.282119331276044	-0.282119331276044
0	0	0
0	0	0
0	0	0
0.160228147148155	0.160228147148155	0.160228147148155
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.112102762772702	0.112102762772702	0.112102762772702
0	0	0
-0.209677469404414	-0.209677469404414	-0.209677469404414
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.35463060431648	-0.35463060431648	-0.35463060431648
0	0	0
0	0	0
-0.389060293487273	-0.389060293487273	-0.598921591276303
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0.172165041137487
0	0	0
-0.155290963384323	-0.269694029272068	-0.352957915444858
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.250388381630182	-0.250388381630182	-0.250388381630182
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.384616485517472	0.384616485517472	0.384616485517472
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.342694800393656	-0.342694800393656	-0.342694800393656
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.221719680121169	0.221719680121169	0.00987862909678372
0	0	0
0	0	0
-0.31634625592269	-0.31634625592269	-0.31634625592269
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.338370440481231	0.338370440481231	0.338370440481231
0	0	0
-0.291692176740617	-0.291692176740617	-0.291692176740617
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	-0.148541853600182	-0.187469580792822
0.257908580941148	0.257908580941148	0.257908580941148
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.1987473358633	-0.1987473358633	-0.1987473358633
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.349782410799526	-0.349782410799526	-0.561801661341451
0	0	0
-0.164398929360323	-0.164398929360323	-0.164398929360323
0	0	0
0	0	0
0.358333705319092	0.358333705319092	0.358333705319092
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.330523569486104	-0.330523569486104	-0.330523569486104
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.332969805505127	0.332969805505127	0.332969805505127
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.397547566751018	-0.397547566751018	-0.397547566751018
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.24672699442599	-0.24672699442599	-0.24672699442599
0	0	0
0	0	0
0	0	0
-0.205480777961202	-0.205480777961202	-0.205480777961202
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.142089737742208	0.142089737742208	0.142089737742208
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.11866653370671	0.11866653370671	0.11866653370671
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.126198150706477	0.126198150706477	0.126198150706477
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.148808904131874	0.148808904131874	0.148808904131874
0	0	0
-0.135902720992453	-0.135902720992453	-0.135902720992453
-0.245794696989469	-0.380752719688462	-0.457349218102172
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.238074810709804	0.238074810709804	0.238074810709804
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.149279821314849	0.149279821314849	0.149279821314849
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.310241711442359	-0.310241711442359	-0.310241711442359
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.277061022864655	-0.277061022864655	-0.277061022864655
0	0	0
-0.193379161204211	-0.193379161204211	-0.193379161204211
0	0	0
0	0	0
-0.214017118886113	-0.214017118886113	-0.0406413204036653
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.257414170261472	-0.257414170261472	-0.257414170261472
0.278099411376752	0.278099411376752	0.278099411376752
0	0	0
0	0	0
0	0	0
0.269768271176145	0.269768271176145	0.269768271176145
0	0	0
0	0	0
-0.315453381091356	-0.315453381091356	-0.315453381091356
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.367911477386951	-0.367911477386951	-0.367911477386951
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0.156687647115905	0.150026355264708
0	0	0
0	0	0
0	0	0
0	0	-0.171443367376924
0	-0.143467554246308	-0.236466755671427
-0.283604280278087	-0.283604280278087	-0.283604280278087
0	0	0
0	0	0
0	0	0
0	0	0
0.105092633282766	0.105092633282766	0.105092633282766
-0.100109861604869	-0.100109861604869	-0.100109861604869
0	0	0
0	0	0
0	0	0.152179859415628
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.113010322488844	-0.113010322488844	-0.113010322488844
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.212873495998792	0.212873495998792	0.212873495998792
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.222515545110218	-0.222515545110218	-0.222515545110218
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.329011477786116	-0.329011477786116	-0.329011477786116
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.321288936329074	-0.321288936329074	-0.321288936329074
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.134797174646519	0.311491866974393	0.324004365527071
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.31450681576971	0.31450681576971	0.31450681576971
0	0	0
0	0	0
0.35517334791366	0.35517334791366	0.35517334791366
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.208545916597359	0.208545916597359	0.208545916597359
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.322790420241654	0.322790420241654	0.492395332385786
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.331636548484676	0.331636548484676	0.331636548484676
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.211646693968214	-0.0920575346215628	-0.0554351165890693
0	0	0
0	0	0
-0.245323608256876	-0.245323608256876	-0.245323608256876
0	0	0
0	-0.186411135736853	-0.201281148684211
0	0	0
0.331122522684746	0.331122522684746	0.331122522684746
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.258443316747434	0.258443316747434	0.258443316747434
0.102311129169539	0.102311129169539	0.102311129169539
0.36398463153746	0.36398463153746	0.36398463153746
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.13773128639441	-0.0208128703699913	0.0354111877968535
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.361381922359578	-0.361381922359578	-0.361381922359578
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.35326449344866	-0.35326449344866	-0.35326449344866
0	0	0
0.301211890089326	0.301211890089326	0.301211890089326
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0.148486353683984	0.162328713526949
-0.226582751167007	-0.226582751167007	-0.226582751167007
-0.125013209367171	-0.125013209367171	-0.125013209367171
0	0	0
0	0.146959316020366	0.167345016961917
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.156554183247499	0.156554183247499	0.156554183247499
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.379416853399016	-0.379416853399016	-0.379416853399016
0.194237505877391	0.194237505877391	0.194237505877391
0	0	0
0	0	0
-0.258644617651589	-0.258644617651589	-0.258644617651589
0.120833815168589	0.263315287610749	0.285093076643534
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.121368764853105	0.121368764853105	0.121368764853105
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.265855503990315	0.265855503990315	0.265855503990315
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.31223858287558	-0.31223858287558	-0.31223858287558
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0.152835916774347	0.15923568920698
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.159272914449684	-0.159272914449684	-0.159272914449684
0	0	0
0	0	0
0	0	0
0	0	0
0.101860386808403	0.101860386808403	0.101860386808403
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.381227324856445	0.381227324856445	0.381227324856445
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.307021041424014	0.471892981638666	0.530606676870957
0	0	0
0	0	0
0	0	0
0.22220593423117	0.22220593423117	0.22220593423117
0	0	0
0	0	0
0.376815482252277	0.376815482252277	0.376815482252277
0	0	0
0	0	0
0	0	0
-0.302404529997148	-0.302404529997148	-0.302404529997148
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.375018265796825	-0.375018265796825	-0.375018265796825
0	0	0
0	0	0
0	0	0
0	0	-0.204012531996705
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.149495348194614	0.149495348194614	0.149495348194614
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.365905414498411	0.365905414498411	0.365905414498411
0	0	0
0	0	0
0	0	0
-0.108511673123576	-0.108511673123576	-0.108511673123576
0	0	0
0.141637545172125	0.141637545172125	0.319005735521205
0	0	0
0	0	0
0	0	0
-0.309092376776971	-0.309092376776971	-0.309092376776971
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.321207577735186	0.321207577735186	0.321207577735186
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.116351072280668	0.116351072280668	0.116351072280668
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.108848166023381	-0.108848166023381	-0.108848166023381
0	0	0
0	0	0
0	0	0
-0.37941148695536	-0.37941148695536	-0.37941148695536
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.128118918370455	-0.128118918370455	-0.128118918370455
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.268238245486282	0.131897582963575	0.0533226878149435
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.313019419182092	-0.313019419182092	-0.313019419182092
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.161387532553636	-0.161387532553636	-0.161387532553636
-0.298611708753742	-0.298611708753742	-0.298611708753742
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.24853302158881	-0.24853302158881	-0.24853302158881
0	0	0
0	0	0
0	0	0
0	0	0
0.282052395003848	0.282052395003848	0.0929615944158286
0	0	0
0	0	0
0.227990887779742	0.227990887779742	0.227990887779742
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.375872221007012	-0.491541820665589	-0.532070613605902
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.298694369546138	0.298694369546138	0.298694369546138
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.353287144633941	-0.353287144633941	-0.353287144633941
-0.155519527127035	-0.155519527127035	-0.155519527127035
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.364650504244492	0.364650504244492	0.364650504244492
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.22950131916441	-0.22950131916441	-0.22950131916441
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.348267494537868	-0.348267494537868	-0.348267494537868
0	0	0
0	0	0
0.115201983135194	0.115201983135194	0.115201983135194
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.133417290146463	-0.133417290146463	-0.133417290146463
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.318232469540089	-0.318232469540089	-0.318232469540089
0	0	0
0	0	0
0	0	0
0.252241143630818	0.252241143630818	0.252241143630818
0	0	0
0	0	0
0.170562033727765	0.170562033727765	0.170562033727765
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.352423367509618	-0.46597055127495	-0.553405688540079
0	0	0
-0.319573109410703	-0.319573109410703	-0.319573109410703
0	0	0
0	0	0
0	0	0
0	0	0
-0.156988386786543	-0.156988386786543	-0.156988386786543
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.269548817793839	-0.269548817793839	-0.269548817793839
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.101325224712491	-0.101325224712491	-0.101325224712491
0	0	0
0	0	0
0	0	0
-0.116353435977362	-0.116353435977362	-0.116353435977362
0	0	0
0	0	0
-0.118446581531316	-0.118446581531316	-0.118446581531316
-0.314565656520426	-0.314565656520426	-0.314565656520426
-0.177673740289174	-0.177673740289174	-0.177673740289174
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.355806793901138	-0.355806793901138	-0.355806793901138
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.375505629600957	-0.375505629600957	-0.375505629600957
0	0	0
0	0	0
0	0	0
0.245318190963008	0.245318190963008	0.245318190963008
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.272635028744116	-0.272635028744116	-0.272635028744116
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.389242373360321	-0.389242373360321	-0.389242373360321
0	0	0
0	0	0
0	0	0
0	0.138187534874305	0.162016012100503
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.140170421684161	0.140170421684161	0.140170421684161
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.362038081348874	-0.362038081348874	-0.362038081348874
0	0	0
0	0	0
0.279587560729124	0.279587560729124	0.279587560729124
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.32397282270249	-0.32397282270249	-0.32397282270249
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.214594831643626	0.214594831643626	0.214594831643626
0	0	0
-0.201630719495006	-0.201630719495006	-0.201630719495006
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.227007722179405	0.227007722179405	0.227007722179405
0	0	0
0	0	0
0	0.124137146217981	0.171490991767496
0	0	0
0	0	0
0.270150864124298	0.270150864124298	0.270150864124298
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.13881933670491	-0.13881933670491	-0.13881933670491
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.204202579776756	-0.204202579776756	-0.204202579776756
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.14981021375861	-0.14981021375861	-0.14981021375861
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.195314057543874	-0.195314057543874	-0.195314057543874
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.288255040510558	0.288255040510558	0.288255040510558
0.248751551564783	0.248751551564783	0.248751551564783
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.137067929026671	-0.137067929026671	-0.137067929026671
0	0	0
0	0	0
0	0	0
0	0	0
0.189590805000626	0.189590805000626	0.189590805000626
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.359058953262866	-0.359058953262866	-0.359058953262866
0	0	0
0	0	0
0.272141131595708	0.272141131595708	0.272141131595708
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.136283038463443	-0.136283038463443	-0.136283038463443
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.139483779389411	-0.139483779389411	-0.139483779389411
0	0	0
0	0	0
0	0	0
0	0	0
-0.159467971324921	-0.159467971324921	-0.159467971324921
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0.165571659815032	0.191422565514222
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
